unix_time,cpu_percent,ram_percent
1695114783911,6.82,10.94
1695114785933,5.55,10.95
1695114787944,7.79,10.97
1695114789955,6.2,10.98
1695114791966,6.85,10.95
1695114793980,7.08,10.93
1695114795991,5.01,10.95
1695114798003,7.38,10.95
1695114800014,6.66,10.93
1695114802025,7.65,10.93
1695114804037,5.61,10.96
1695114806052,9.73,10.97
1695114808064,14.32,10.99
1695114810078,20.91,11.05
1695114812092,19.09,11.01
1695114814105,19.31,11.01
1695114816117,21.44,11.04
1695114818128,20.48,11.02
1695114820139,39.24,11.04
1695114822159,60.36,11.06
1695114824188,68.75,11.07
1695114826208,65.96,11.08
1695114828221,63.57,11.09
1695114830240,64.36,11.09
1695114832257,66.02,11.09
1695114834276,71.62,11.21
1695114836309,86.47,11.24
1695114838332,99.94,11.41
1695114840360,96.82,11.35
1695114842392,99.44,11.61
1695114844429,96.06,11.63
1695114846484,91.42,11.58
1695114848517,97.56,11.69
1695114850588,96.3,11.68
1695114852609,73.22,11.64
1695114854622,64.02,11.65
1695114856636,64.84,11.66
1695114858653,62.31,11.59
1695114860696,63.39,11.66
1695114862708,62.01,11.63
1695114864719,64.68,11.66
1695114866731,67.94,11.64
1695114868746,71.11,11.79
1695114870804,83.53,11.81
1695114872819,79.6,11.80
1695114874834,79.08,11.80
1695114876904,96.94,12.01
1695114878933,97.75,11.90
1695114880960,98.93,12.12
1695114882996,98.12,12.14
1695114885028,99,12.24
1695114887043,98.31,12.28
1695114889113,99.44,12.39
1695114891153,97.87,12.39
1695114893192,99.06,12.44
1695114895224,97.93,12.52
1695114897258,81.92,12.45
1695114899281,69.37,12.39
1695114901303,64.42,12.42
1695114903315,63.45,12.40
1695114905327,63.62,12.43
1695114907339,66.29,12.44
1695114909407,62.01,12.44
1695114911418,63.59,12.43
1695114913430,62.26,12.42
1695114915442,79.06,12.57
1695114917512,79.6,12.63
1695114919530,75.03,12.60
1695114921596,77.41,12.63
1695114923613,90.06,12.68
1695114925634,99.5,12.79
1695114927656,97.62,12.86
1695114929685,99.94,12.88
1695114931712,92.91,12.90
1695114933736,98.43,12.99
1695114935760,97.87,12.96
1695114937801,98.94,13.03
1695114939836,98.56,13.17
1695114941865,98.62,13.12
1695114943898,98.12,13.33
1695114945928,99.19,13.28
1695114947956,99.31,13.43
1695114949984,96.99,13.33
1695114952006,99.06,13.39
1695114954044,94.8,13.47
1695114956072,83.31,13.38
1695114958096,69.33,13.33
1695114960110,64.81,13.31
1695114962124,62.67,13.35
1695114964136,64.98,13.31
1695114966157,64.28,13.36
1695114968201,62.97,13.35
1695114970213,63.43,13.35
1695114972237,60.1,13.37
1695114974253,73.25,13.43
1695114976310,79.37,13.45
1695114978324,80.88,13.55
1695114980349,78.12,13.56
1695114982388,78.18,13.53
1695114984437,78.98,13.52
1695114986501,79.37,13.58
1695114988514,85.98,13.52
1695114990541,99.56,13.63
1695114992572,98,13.53
1695114994598,99,13.62
1695114996628,97.5,13.66
1695114998660,99.44,13.66
1695115000742,98.38,13.66
1695115002765,99.69,13.66
1695115004796,98.87,13.79
1695115006829,98.69,13.70
1695115008858,99.13,13.77
1695115010953,99.25,13.77
1695115012984,99.5,13.78
1695115015012,97.63,13.88
1695115017088,100,13.91
1695115019133,97.18,13.80
1695115021146,99.12,13.93
1695115023212,96.87,13.81
1695115025241,99.75,14.05
1695115027264,98.31,13.86
1695115029290,99.38,14.04
1695115031317,98.94,14.05
1695115033340,98,14.10
1695115035361,81.44,13.98
1695115037400,68.88,13.92
1695115039418,64.27,13.92
1695115041432,64.87,13.92
1695115043448,62.33,13.89
1695115045472,74.31,13.95
1695115047508,78.74,14.05
1695115049522,81.1,14.06
1695115051536,76.43,14.09
1695115053607,77.29,14.01
1695115055629,97.82,14.15
1695115057661,97.81,14.09
1695115059720,99.88,14.15
1695115061741,98.5,14.16
1695115063768,98.56,14.21
1695115065796,82.83,14.12
1695115067809,76.15,14.04
1695115069822,61.8,14.02
1695115071834,63.82,14.01
1695115073857,64.21,14.03
1695115075876,65.17,14.03
1695115077901,86.76,14.09
1695115079924,99.62,14.13
1695115081940,96.49,14.12
1695115083964,99.81,14.48
1695115085990,100,14.89
1695115088027,99.81,15.45
1695115090073,100,16.14
1695115092134,99.44,16.56
1695115094181,99.25,17.11
1695115096216,99.94,17.79
1695115098252,100,18.36
1695115100290,99.44,18.75
1695115102321,99.5,19.41
1695115104353,100,20.09
1695115106406,99.94,20.61
1695115108444,100,21.06
1695115110499,99.38,21.63
1695115112527,100,22.22
1695115114574,99.88,22.77
1695115116616,99.75,23.20
1695115118651,99.56,23.87
1695115120731,99.81,24.40
1695115122770,100,25.06
1695115124821,100,25.63
1695115126866,99.75,26.21
1695115128895,100,26.69
1695115130934,99.69,27.28
1695115133007,99.69,27.81
1695115135036,100,28.61
1695115137122,99.81,29.21
1695115139161,99.94,29.79
1695115141196,98.75,30.30
1695115143252,93.11,30.92
1695115145318,90.92,31.54
1695115147348,86.06,32.11
1695115149386,83.21,32.72
1695115151428,82.81,33.25
1695115153458,76.48,33.81
1695115155507,69.85,34.51
1695115157534,70.62,35.32
1695115159598,84.26,36.12
1695115161625,89.57,36.76
1695115163673,86.12,37.42
1695115165734,89.74,38.09
1695115167763,85.9,38.73
1695115169825,86.77,39.29
1695115171879,91.69,39.88
1695115173918,89.32,40.58
1695115175985,84.76,41.18
1695115178025,85.56,41.73
1695115180046,88.34,42.27
1695115182077,88.71,42.86
1695115184197,84.73,43.43
1695115186225,89.88,44.07
1695115188251,82.86,44.54
1695115190307,99.62,45.12
1695115192343,99.88,45.80
1695115194380,100,46.43
1695115196417,100,46.89
1695115198504,99.56,47.42
1695115200539,100,48.08
1695115202581,100,48.72
1695115204632,99.5,49.11
1695115206681,99,49.64
1695115208714,99.88,50.30
1695115210763,99.75,50.80
1695115212801,100,51.31
1695115214840,99.69,51.99
1695115216879,99.87,52.64
1695115218916,99.81,53.14
1695115220946,99.81,53.68
1695115223041,99.44,54.37
1695115225078,99.75,55.07
1695115227117,100,55.50
1695115229152,100,55.93
1695115231196,99.56,56.55
1695115233229,99.88,57.16
1695115235263,99.94,57.69
1695115237303,99.44,58.21
1695115239345,99.81,58.82
1695115241386,100,59.46
1695115243425,99.87,59.96
1695115245453,99,60.47
1695115247498,100,61.05
1695115249553,100,61.69
1695115251590,99.81,62.22
1695115253640,99.87,62.84
1695115255677,99.88,63.49
1695115257715,100,64.10
1695115259794,100,64.68
1695115261855,100,65.28
1695115263902,100,65.82
1695115265964,99.62,66.44
1695115268004,100,67.05
1695115270044,99.62,67.66
1695115272094,100,68.18
1695115274123,99.81,68.75
1695115276184,100,69.42
1695115278237,100,70.02
1695115280266,99.62,70.59
1695115282294,99.94,71.19
1695115284335,100,71.81
1695115286364,100,72.42
1695115288419,99.94,72.97
1695115290460,96.3,73.55
1695115292509,97.43,74.09
1695115294545,82.47,74.61
1695115296580,84.13,75.15
1695115298622,73.45,75.71
1695115300645,70.04,76.36
1695115302703,73.4,76.93
1695115304730,70.95,77.56
1695115306793,70.53,78.17
1695115308818,72.71,78.79
1695115310846,71.51,79.43
1695115312905,85.27,80.10
1695115314925,87.94,80.73
1695115316979,88.77,81.23
1695115319028,99.88,81.68
1695115321064,99.75,74.58
1695115323093,100,58.04
1695115325114,99.69,41.14
1695115327129,98.75,25.55
1695115329156,99.31,14.54
1695115331176,97.5,14.59
1695115333197,98.87,14.56
1695115335236,98.62,14.66
1695115337257,98.19,14.58
1695115339285,98.19,14.69
1695115341316,97.3,14.56
1695115343344,98.31,14.61
1695115345384,97.57,14.67
1695115347432,99.69,14.67
1695115349464,91.13,14.64
1695115351485,77.55,14.60
1695115353541,73.65,14.59
1695115355589,72.54,14.53
1695115357613,60.58,14.51
1695115359624,59.86,14.50
1695115361635,57.6,14.53
1695115363653,60.3,14.55
1695115365681,77.19,14.61
1695115367701,73.14,14.60
1695115369716,76.89,14.61
1695115371729,75.35,14.61
1695115373769,75.65,14.62
1695115375796,73,14.65
1695115377820,72.1,14.66
1695115379883,79.29,14.71
1695115381913,74.39,14.71
1695115383927,73.58,14.68
1695115385980,74.13,14.68
1695115388000,78.38,14.74
1695115390034,74.45,14.70
1695115392052,73.13,14.62
1695115394074,96.69,14.71
1695115396093,98.69,14.60
1695115398138,98.25,14.79
1695115400164,98,14.63
1695115402192,99.5,14.72
1695115404228,96.68,14.69
1695115406272,99.25,14.72
1695115408292,99.63,14.64
1695115410337,97.94,14.73
1695115412376,99.31,14.63
1695115414400,84.33,14.61
1695115416416,58.07,14.62
1695115418429,60.21,14.62
1695115420441,59.99,14.65
1695115422505,67.82,14.69
1695115424524,74.98,14.73
1695115426556,74.49,14.73
1695115428615,74.84,14.74
1695115430627,72.97,14.74
1695115432707,85.51,14.69
1695115434722,99.69,14.82
1695115436763,96.31,14.66
1695115438801,99.63,14.81
1695115440840,98.18,14.72
1695115442865,99.06,14.74
1695115444887,98.31,14.76
1695115446912,98.87,14.70
1695115448932,98.88,14.74
1695115450992,97.87,14.69
1695115453025,98.69,14.82
1695115455041,97.3,14.67
1695115457063,99.19,14.65
1695115459097,97.68,14.77
1695115461124,83.53,14.66
1695115463145,43.22,14.64
1695115465162,30.14,14.64
1695115467173,32.58,14.63
1695115469184,26.36,14.64
1695115471196,36.47,14.72
1695115473226,46.1,14.74
1695115475239,66.25,14.79
1695115477292,79.81,14.76
1695115479344,79.07,14.75
1695115481365,80.73,14.74
1695115483388,77.65,14.73
1695115485409,75.41,14.69
1695115487427,81.2,14.66
1695115489477,78.58,14.73
1695115491513,78.55,14.79
1695115493549,80.63,14.81
1695115495577,80.83,14.77
1695115497595,82.99,14.79
1695115499613,80.15,14.74
1695115501630,81.82,14.72
1695115503644,80,14.73
1695115505674,81.12,14.75
1695115507693,80.74,14.71
1695115509711,80.9,14.74
1695115511724,80.29,14.79
1695115513785,78.88,14.81
1695115515820,80.33,14.74
1695115517841,80.95,14.73
1695115519856,79.49,14.72
1695115521870,79.99,14.70
1695115523885,81.16,14.66
1695115525900,81.95,14.71
1695115527920,78.48,14.80
1695115529936,53.39,14.77
1695115531953,43.81,14.74
1695115533995,45.1,14.74
1695115536009,45.5,14.80
1695115538024,40.08,14.78
1695115540038,45.66,14.74
1695115542079,48.53,14.72
1695115544103,71.32,14.86
1695115546117,76.84,14.78
1695115548134,80.73,14.78
1695115550157,80.78,14.80
1695115552177,79.92,14.79
1695115554191,76.04,14.80
1695115556215,51.51,14.81
1695115558227,45.6,14.75
1695115560243,46.58,14.76
1695115562293,44.07,14.75
1695115564306,78.5,14.83
1695115566324,75.33,14.87
1695115568337,81.75,14.84
1695115570357,78.76,14.81
1695115572407,80.94,14.75
1695115574425,78.18,14.79
1695115576469,48.31,14.80
1695115578482,43.13,14.79
1695115580496,45.63,14.78
1695115582532,43.94,14.84
1695115584545,47.54,14.83
1695115586591,45.71,14.85
1695115588603,46.2,14.85
1695115590630,45.69,14.82
1695115592641,45.05,14.82
1695115594689,80.54,14.81
1695115596708,79.12,14.80
1695115598725,81.46,14.87
1695115600756,79.96,14.88
1695115602776,78.93,14.93
1695115604828,78.3,14.86
1695115606849,78.34,14.83
1695115608866,80.57,14.79
1695115610885,79.04,14.82
1695115612904,82.18,14.84
1695115614917,62.25,14.87
1695115616929,53.08,14.81
1695115618955,84.74,14.76
1695115620976,79.71,14.75
1695115622991,79.77,14.85
1695115625004,79.87,14.87
1695115627018,83.39,14.86
1695115629068,81.3,14.90
1695115631121,78.57,14.90
1695115633142,78.73,14.85
1695115635162,79.03,14.80
1695115637175,80.52,14.81
1695115639189,78.15,14.74
1695115641209,82.77,14.80
1695115643227,55.67,14.74
1695115645241,81.16,14.71
1695115647265,84.04,14.80
1695115649293,80.16,14.83
1695115651308,77.98,14.85
1695115653324,80.74,14.85
1695115655348,78.76,14.86
1695115657373,79.56,14.84
1695115659388,80.63,14.82
1695115661405,78.84,14.89
1695115663423,66.16,14.85
1695115665436,50.25,14.85
1695115667477,46.05,14.89
1695115669493,54.61,14.84
1695115671512,80.66,14.81
1695115673531,77.64,14.84
1695115675549,53.97,14.84
1695115677568,43.91,14.83
1695115679582,46.05,14.82
1695115681610,42.75,14.84
1695115683624,44.65,14.82
1695115685655,41.66,14.81
1695115687682,43.5,14.82
1695115689695,44.09,14.82
1695115691707,45.92,14.87
1695115693718,43.18,14.91
1695115695772,51.86,14.78
1695115697793,80.68,14.74
1695115699842,80.52,14.73
1695115701865,80.89,14.90
1695115703881,70.63,14.84
1695115705899,43.92,14.86
1695115707910,46.03,14.84
1695115709960,45.65,14.86
1695115712017,52.12,14.78
1695115714030,79.97,14.78
1695115716064,81.16,14.77
1695115718112,78.5,14.72
1695115720126,78.67,14.84
1695115722139,82.12,14.89
1695115724196,76.89,14.79
1695115726230,61.86,14.72
1695115728285,77.63,14.71
1695115730297,79.01,14.79
1695115732316,77.38,14.80
1695115734334,77.22,14.78
1695115736348,79.94,14.78
1695115738397,82.18,14.70
1695115740411,79.64,14.74
1695115742425,79.7,14.77
1695115744439,77.13,14.75
1695115746461,76.62,14.70
1695115748485,80.74,14.73
1695115750501,82.54,14.82
1695115752541,78.54,14.71
1695115754568,46.76,14.67
1695115756584,79.22,14.64
1695115758597,78.67,14.71
1695115760616,78.57,14.65
1695115762638,79.25,14.76
1695115764660,83.73,14.82
1695115766732,53.88,14.74
1695115768748,48.69,14.77
1695115770791,43.76,14.77
1695115772802,44.23,14.73
1695115774814,44.05,14.76
1695115776865,39.86,14.73
1695115778877,44.86,14.72
1695115780889,44.32,14.65
1695115782925,68.13,14.66
1695115784940,66.06,14.72
1695115786954,69.64,14.66
1695115788972,68.11,14.70
1695115790987,68.62,14.74
1695115793001,67.74,14.74
1695115795049,68.79,14.69
1695115797063,73.51,14.71
1695115799075,65.09,14.73
1695115801112,33.06,14.70
1695115803125,32.83,14.66
1695115805137,25.65,14.61
1695115807148,24.95,14.66
1695115809160,20.96,14.66
1695115811173,23.95,14.60
1695115813185,23.88,14.60
1695115815196,23.7,14.60
1695115817207,22.15,14.61
1695115819223,23.74,14.61
1695115821237,23.54,14.63
1695115823249,23.47,14.61
1695115825260,23.66,14.64
1695115827277,24.92,14.59
